2025-08-18 04:04:28,914 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:04:28,989 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:04:55,402 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:04:55,474 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:15:34,128 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:15:35,261 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:15:35,264 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:15:35,264 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:16:52,793 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:16:53,922 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:16:53,924 | ERROR | fastapi | Form data requires "python-multipart" to be installed. 
You can install "python-multipart" with: 

pip install python-multipart

2025-08-18 04:17:22,664 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:17:23,843 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:18:17,072 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:18:18,261 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:18:18,266 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:18:18,266 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:18:18,268 | ERROR | fastapi | Form data requires "python-multipart" to be installed. 
You can install "python-multipart" with: 

pip install python-multipart

2025-08-18 04:24:18,663 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:24:19,872 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:24:19,875 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:24:19,876 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:24:30,243 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:24:31,388 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:24:31,391 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:24:31,391 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:24:31,407 | INFO | backend | Routers registered successfully.
2025-08-18 04:24:41,276 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:24:42,402 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:24:42,404 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:24:42,405 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:24:42,419 | INFO | backend | Routers registered successfully.
2025-08-18 04:25:11,687 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:25:12,839 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:25:12,842 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:25:12,842 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:25:12,856 | INFO | backend | Routers registered successfully.
2025-08-18 04:27:19,374 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:27:20,511 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:27:20,514 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:27:20,514 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:27:20,528 | INFO | backend | Routers registered successfully.
2025-08-18 04:28:46,428 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:28:47,699 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:28:47,702 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:28:47,702 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:28:47,718 | INFO | backend | Routers registered successfully.
2025-08-18 04:29:24,019 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:29:25,958 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:30:53,660 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:30:54,887 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:30:54,890 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:30:54,890 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:30:54,904 | INFO | backend | Routers registered successfully.
2025-08-18 04:31:12,957 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:31:15,033 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:35:26,522 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:35:28,663 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:35:40,918 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:35:43,247 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:36:13,327 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:36:15,544 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:37:42,390 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:37:44,524 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:38:02,716 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:38:04,894 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:38:05,033 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:38:06,401 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:38:06,406 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:38:06,406 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:38:06,411 | INFO | backend | Routers registered successfully.
2025-08-18 04:38:56,775 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:38:59,206 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:39:22,315 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:39:24,391 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:39:24,524 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:39:25,763 | INFO | backend | ML libraries imported successfully.
2025-08-18 04:39:25,797 | INFO | backend | Backend package initialized successfully.
2025-08-18 04:39:25,797 | INFO | backend | ML libraries imported successfully.
